disease_name,url,title,question,answer
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Causes (Melanocytic nevi),Close
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Complications (Melanocytic nevi),"Melanoma is the main complication of moles. Some people have an above-average risk of their moles becoming cancerous and leading to melanoma. Factors that raise melanoma risk include:
* **Being born with large moles.** These type of moles are called congenital nevi. They are subclassified based on their estimated adult size. Large and giant congenital nevi that are more than 20 centimeters in diameter are at higher risk of developing melanoma.
* **Having unusual moles.** Moles that are large with an irregular border are known as atypical nevi, also known as dysplastic nevi. They tend to run in families.
* **Having many moles.** Having more than 50 moles suggests a greater risk of melanoma and possibly breast cancer.
* **Having a personal or family history of melanoma.** If you've had melanoma before, there is a higher risk of getting melanoma again. Also, some types of atypical nevi lead to a genetic form of melanoma.
* **Using tanning lamps or beds.** Tanning lamps and beds release UV rays and can raise your risk of skin cancer."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Prevention (Melanocytic nevi),The following measures can help limit the growth of moles and the main complication of moles: melanoma.
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Watch for changes (Melanocytic nevi),"Become familiar with the location and pattern of your moles. Regularly look at your skin for changes that may signal melanoma. Do self-exams of the skin monthly. With the help of mirrors, do a head-to-toe check, including:
* Scalp.
* Palms and fingernails.
* Armpits.
* Chest.
* Legs.
* Feet, including the soles and between the toes.
* Genital area and between the buttocks.

Talk with your healthcare professional about your risk factors for melanoma and whether you need a professional skin exam regularly."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Products & Services (Melanocytic nevi),Show more products and services from Mayo Clinic
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Moles (Melanocytic nevi),Mayo Clinic does not endorse companies or products. Advertising revenue supports our not-for-profit mission.
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Mayo Clinic Press (Melanocytic nevi),CON-20375185
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Mayo Clinic Privacy Policy (Melanocytic nevi),"I Agree
x"
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/diagnosis-treatment/drc-20375204,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Diagnosis (Melanocytic nevi),"Your healthcare professional can diagnose moles by looking at your skin. During a skin exam, your healthcare professional looks at your skin from head to toe. If your healthcare professional thinks that a mole may be cancerous, it is removed and sent to a lab for examination under a microscope. This is called a biopsy.
You might choose to make a skin exam a regular part of your preventive medical care. Talk with your healthcare professional about the schedule that's right for you."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/diagnosis-treatment/drc-20375204,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Treatment (Melanocytic nevi),"Most moles don't need treatment. If you're self-conscious about a mole, you could try makeup to help hide it. If you have a hair growing from a mole, you might try clipping it close to the skin's surface or plucking it. Anytime you cut or irritate a mole, keep the area clean. See your healthcare professional if a mole doesn't heal.
You also might talk with your dermatologist about surgically removing a mole if it bothers you or if you notice suspicious changes in it. Mole removal is a quick procedure that is typically done on an outpatient basis. During mole removal, your healthcare professional numbs the area around the mole and cuts it out, along with a margin of healthy skin if needed. The procedure may leave a permanent scar. People with Black skin are at increased risk of other surgical side effects, such as pigmentary changes where the cut is, and keloid scars, which are raised scars after an injury heals.
If you notice that a mole has grown back, see your healthcare professional promptly."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/diagnosis-treatment/drc-20375204,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Preparing for your appointment (Melanocytic nevi),"If you have a mole that concerns you, your healthcare professional typically can let you know if it's normal or needs to be studied more. Your healthcare professional may send you to a doctor who specializes in skin disorders, known as a dermatologist, for diagnosis and treatment.
It's a good idea to arrive for your appointment well-prepared. Here's some information to help you get ready."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/diagnosis-treatment/drc-20375204,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),What you can do (Melanocytic nevi),"* **List any changes you've noticed or any new symptoms you're having.** Include any that may seem unrelated to the reason why you scheduled the appointment.
* **Bring a list of all medicines,** vitamins or supplements that you take.
* **If you've had a melanoma or a mole removed in the past,** note the location of the lesion and the date of removal. If you have the biopsy report, bring it with you.
* **Don't wear makeup or opaque nail polish to your appointment.** These products make it hard for your healthcare professional to do a thorough exam.
* **List questions to ask** your healthcare professional.

For moles, some basic questions to ask your healthcare professional include:
* Do you think this mole might be cancerous?
* What's the best course of action?
* How can I tell if a mole needs to be looked at?
* Can I keep more moles from growing?
* Do you have any brochures or other printed material that I can take home with me? What websites do you recommend?

In addition to the questions that you've prepared, don't hesitate to ask questions during your appointment."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/diagnosis-treatment/drc-20375204,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Products & Services (Melanocytic nevi),Show more products and services from Mayo Clinic
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/diagnosis-treatment/drc-20375204,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Moles (Melanocytic nevi),Mayo Clinic does not endorse companies or products. Advertising revenue supports our not-for-profit mission.
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/diagnosis-treatment/drc-20375204,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Mayo Clinic Press (Melanocytic nevi),CON-20375185
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/diagnosis-treatment/drc-20375204,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Mayo Clinic Privacy Policy (Melanocytic nevi),"I Agree
x"
Melanocytic nevi,https://emedicine.medscape.com/article/1058445-overview,Melanocytic Nevi,Frequency (Melanocytic nevi),"_United States_
_International_"
Melanocytic nevi,https://emedicine.medscape.com/article/1058445-overview,Melanocytic Nevi,Race (Melanocytic nevi),"Melanocytic nevi are common lesions in patients with light or fair skin and are less common lesions in dark-skinned individuals. This difference in prevalence is in part attributable to the fact that identifying moles in dark-skinned patients is often difficult, especially if the lesions are macular (flat)."
Melanocytic nevi,https://emedicine.medscape.com/article/1058445-overview,Melanocytic Nevi,Sex (Melanocytic nevi),"No clear sex predilection is reported for the development of melanocytic nevi. However, melanocytes have been postulated to exhibit some degree of sex hormone responsiveness. The findings associated with melanocytic nevi during pregnancy support this conclusion. Melanocytic nevi commonly darken and/or enlarge during pregnancy. Melanocytes have been shown to have cytosolic receptors for estrogens and androgens, and melanogenesis is responsive to these steroid hormones. Some melanomas seem to respond to hormones, an observation that might be explained by these cytosolic receptors.
Subtle differences may exist in the prevalence of melanocytic nevi between women and men. Judging the incidence and prevalence based on available biopsy data is difficult because women may be more likely to seek medical attention. If sex-specific variations in incidence do exist, the differences may be site specific. For example, specific histopathological features are commonly observed in melanocytic nevi that occur within genital skin. These features are noted almost exclusively within biopsy specimens from women, although similar alterations can occasionally be observed in melanocytic nevi from males.
From the author's database (at the University of California, San Francisco), data clearly show that biopsies of genital melanocytic nevi are much more commonly performed in women than in men. These data do not unequivocally confirm that the prevalence of genital melanocytic nevi is truly increased in women, although this seems likely."
Melanocytic nevi,https://emedicine.medscape.com/article/1058445-treatment,Melanocytic Nevi Treatment & Management,Medical Care (Melanocytic nevi),Medical treatment is typically ineffective and inappropriate for the management of a benign neoplasm such as a melanocytic nevus.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What is a skin mole? What does one look like? (Melanocytic nevi),"Most skin moles appear in early childhood and during the first 20 years of life. It is normal for a person to have between 10 to 40 moles by adulthood.
The life cycle of an average mole is about 50 years. As the years pass, moles usually change slowly, becoming raised and lighter in color. Often, hairs develop on the mole. Some moles will not change at all and some will slowly disappear over time."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What are the types of skin moles? (Melanocytic nevi),"* **Common Nevi:** This is a normal mole, a small growth on your skin that’s pink, tan, or brown and has a distinct edge."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,How common are moles? (Melanocytic nevi),Moles are very common. Most people have about 10 to 40 of them.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Where do moles most commonly occur? (Melanocytic nevi),Most moles grow on parts of your body that get sunlight (ultraviolet radiation). You might see that you get more moles the longer you’re in the sun.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Are moles contagious? (Melanocytic nevi),"No, moles are not contagious."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Do moles hurt? (Melanocytic nevi),"If your skin moles are tender or painful, you need to see a dermatologist."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Do moles itch? (Melanocytic nevi),"If your skin moles itch, you need to see a dermatologist."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Is it normal for moles to bleed? (Melanocytic nevi),You need to see a dermatologist if your moles bleed.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What does it mean if I have a new mole after age 30? (Melanocytic nevi),"Always be cautious if you’re over age 30 and you find a new mole. It’s likely harmless, but you should still see your healthcare provider."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What causes skin moles? (Melanocytic nevi),"Moles occur when cells in your skin grow in a cluster instead of being spread throughout the skin. Most moles are made of cells called melanocytes, which make the pigment that gives your skin its natural color."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What are the risk factors for skin moles? (Melanocytic nevi),Excessive sunlight.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What makes skin moles darker? (Melanocytic nevi),"Moles may get darker after sun exposure, during pregnancy and during puberty. During pregnancy, moles often change evenly due to hormonal effects. For example, they may darken or become larger. However, if a mole changes in an irregular or uneven manner, have it evaluated by a dermatologist."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Why should I check my skin for moles? (Melanocytic nevi),"The skin is the largest organ in the human body and one of the few organs you can see. Being proactive about preventing skin cancer is important for your health. This is especially true if:
* You have fair skin.
* You have many moles on your body.

In addition to limiting your exposure to sunlight and using sunscreen every day, examining your moles increases the chances of early detection and treatment of melanoma and other types of skin cancers."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What should I look for when examining my skin moles? (Melanocytic nevi),"Most skin moles are benign (non-cancerous). The moles that are of medical concern are those that look different than other existing moles on your body (referred to as the “ugly duckling sign”) or those that appear on your skin after age 30. If you notice changes in any mole's color, thickness, size, or shape, you should see a dermatologist. You also should have your moles checked if they bleed, ooze, itch, scale, or become tender or painful.
Examine your skin with a mirror or ask someone to help you. Pay special attention to areas of your skin that are often exposed to the sun, such as your face, hands, legs (especially in females), arms, chest and back (especially in men).
* **A** symmetry: If one half of your skin mole does not match the other half.
* **B** order: If the border or edges of your mole are ragged, blurred or irregular.
* **C** olor: If the color of your mole is not the same throughout, or it has shades of multiple colors such as tan, brown, black, blue, white, or red.
* **D** iameter: If the diameter of your mole is larger than the eraser of a pencil.
* **E** levation/Evolution: If your mole becomes raised after being flat, or it changes over a short period of time.

The most common location for melanoma in men is the back; in women, it is the lower leg. Melanoma is the most common cancer in women ages 25 to 29."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,How does a dermatologist determine if moles are a concern? (Melanocytic nevi),"Normal (benign) skin moles do not need to be removed (doing so will leave a scar).
If you are concerned that a mole is changing or if you see worrisome signs, please contact your dermatologist to have the mole examined."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Who will treat/manage my moles? (Melanocytic nevi),"Your usual healthcare provider might refer you to a dermatologist, a healthcare provider who specializes in skin."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Should skin moles be removed? (Melanocytic nevi),"A normal skin mole does not need to be removed. If you choose to have it removed, you’ll likely be left with a scar."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,How are skin moles removed? (Melanocytic nevi),"Don’t try to remove a mole by yourself, even if you’re using some sort of over-the-counter product that burns, freezes, or uses lasers to remove skin growths like skin tags, moles and freckles. Not only could you get an infection, but you could unknowingly remove melanoma (skin cancer). Skin cancer can spread to other organs if it’s not caught early, and one way to catch it is to identify an abnormal mole."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What are the at-home treatments for moles? (Melanocytic nevi),"Healthcare providers recommend that you do not use any at-home treatments on your moles. If you have a concern, talk to a dermatologist.
Care at Cleveland Clinic"
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Can moles be prevented? (Melanocytic nevi),"Moles are natural skin growths that can’t be prevented. However, you can be proactive about preventing skin cancer (or catching it early) by:
* Limiting how much sunlight you get.
* Wearing sunscreen every day.
* Examining your moles at least once a month, looking for irregularities.

Being proactive about preventing skin cancer is important for your health. This is especially true if:
* You have fair skin.
* You have many moles on your body.
* Your immediate family members have many moles, atypical moles, or a history of skin cancer.

In addition to limiting your exposure to sunlight and using sunscreen every day, examining your moles increases the chances of early detection and treatment of melanoma and other types of skin cancers.
Dermatologists recommend that you examine your skin every month. Most moles are benign (non-cancerous). If you notice changes in a mole's color or appearance, have your mole evaluated by a dermatologist. You also should have moles checked if they bleed, ooze, itch, appear scaly, or become tender or painful."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,How should I examine my skin for moles? (Melanocytic nevi),"* Perform skin self-examinations every month. It is best if you examine your skin after a bath or shower, while your skin is still wet.
* Use a full-length mirror (if you have one), as well as a hand mirror, for a closer view. Ask a family member, if available, for help for the more difficult sites, such as your back.
* Try to examine yourself the same way every month to avoid missing any areas. Start at your head and work your way down. Look at all the areas of your body (including the front, backs and sides of each area, and your fingernails and toenails). Also be sure to check the “hidden” areas: between your fingers and toes, your groin, the soles of your feet and the backs of your knees.
* Don't forget to thoroughly check your scalp and neck for moles.
* Keep track of all the moles on your body and what they look like. Take a photo with a ruler in it and date it. That way, you'll notice if the moles change. If they do change in any way (in color, shape, size, border, etc.), or if you develop a sore that does not heal, you should see a dermatologist. Also have your dermatologist examine any new moles that you think are suspicious.

You should always be suspicious of a new mole that develops after the age of 30. Many of the growths that appear after age 30 are harmless age-associated growths rather than moles; however, if you do notice a new growth, you should see your dermatologist. He or she will examine the growth and perform a skin biopsy, if indicated."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,What are the complications of moles? (Melanocytic nevi),The most significant complication is that some moles can turn into melanoma.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,How long will I have skin moles? (Melanocytic nevi),Moles can last up to 50 years.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,Can skin moles go away on their own? (Melanocytic nevi),Yes. 50 years is about the maximum time for a mole.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,How do I take care of my skin moles? (Melanocytic nevi),"You don’t need to treat your moles any differently than the rest of your skin, except for examining them at least once a month."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/4410-moles,Moles,A note from Cleveland Clinic (Melanocytic nevi),"Most people get moles. They’re common, normal. Moles are almost always harmless. Just keep an eye out for any irregularity by checking or having someone you trust check for you once a month. Remember, if a mole displays any of the signs listed below, have it checked immediately:
* **A** symmetry: If one half of your skin mole does not match the other half.
* **B** order: If the border or edges of your mole are ragged, blurred or irregular.
* **C** olor: If the color of your mole is not the same throughout, or it has shades of multiple colors such as tan, brown, black, blue, white, or red.
* **D** iameter: If the diameter of your mole is larger than the eraser of a pencil.
* **E** levation/Evolution: If your mole becomes raised after being flat, or it changes over time.

Don’t hesitate to contact your healthcare provider if you have concerns!"
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),What is dysplastic nevus (atypical mole)? (Melanocytic nevi),"Dysplastic nevus is a mole that looks different from most moles. The mole may have irregular borders, be a mix of colors and appear larger than other moles.
Atypical moles are benign (not cancerous). However, having a lot of atypical moles increases your risk of melanoma, a life-threatening skin cancer. Atypical moles may also progress over time to become cancerous."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),What are moles? (Melanocytic nevi),Most people have harmless moles known as common moles. It’s normal for adults with light skin to have up to 40 common moles. Common and atypical moles tend to first appear during childhood and adolescence.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),What does dysplastic nevus mean? (Melanocytic nevi),"You may better understand this condition when you break down the meaning of each word:
* **Dysplastic, or dysplasia** , refers to the presence of unusual (abnormal) cells in tissue. Dysplastic tissue isn’t cancerous. But it has the potential to develop into cancer.
* “**Nevus** ” is the medical term for a mole, a common type of skin growth. Nevi refers to multiple moles. Your provider may use the term dysplastic nevi if you have multiple atypical moles."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),How common are dysplastic nevi (atypical moles)? (Melanocytic nevi),Atypical moles are common. Experts estimate that 1 in 10 Americans have at least one atypical mole.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),Does dysplastic nevus cause skin cancer? (Melanocytic nevi),Experts estimate that 1 in 4 cases of melanoma arises from a dysplastic nevus or atypical mole.
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),What are other words for dysplastic nevus? (Melanocytic nevi),"Your healthcare provider may use these terms to refer to dysplastic nevus:
* Atypical mole.
* Clark’s nevi.
* Congenital nevus.
* Spitz nevus."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),What are sources of UV light? (Melanocytic nevi),"The sun is a natural source of UV light. Artificial sources of UV light include:
* Certain halogen, incandescent and fluorescent lights, as well as some lasers.
* Mercury vapor lighting used in large venues like stadiums and gyms.
* Tanning beds and sunlamps."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),Who is at risk for dysplastic nevi? (Melanocytic nevi),"People with these risk factors are more likely to develop atypical moles:
* Fair skin, freckles, light eyes and hair.
* Family history of atypical moles, skin cancer or melanoma.
* Sensitivity to UV light (photosensitivity)."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),What do atypical moles look like? (Melanocytic nevi),"An atypical mole (dysplastic nevus) may have some or all of these features:
* Flat with a pebbly or slightly raised surface.
* Irregular shape (not round) with blurry or ragged edges.
* Larger than a pencil eraser.
* Mix of colors, including pink, red, tan, brown and black."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),Where do atypical moles appear? (Melanocytic nevi),"Atypical moles can appear anywhere on your body. They most often appear on your trunk but can also show up on your:
* Extremities (arms and legs).
* Head.
* Neck.
* Scalp."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),How do healthcare providers diagnose dysplastic nevi (atypical moles)? (Melanocytic nevi),"* **Skin examinations** once or twice a year to check for changes to moles (or every three to six months if you have a family history of melanoma).
* **Dermoscopy** using a magnifying device called a dermatoscope to see abnormalities in moles that are invisible to the naked eye.
* **Mole mapping** using a special camera with a dermatoscopic lens to create a computerized map of your skin and moles."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),How can you detect abnormal changes to moles? (Melanocytic nevi),"* **Asymmetrical** or irregular shape.
* **Borders** that are blurry, ragged or notched.
* **Colors** that include a mix of shades like browns, blacks, reds or blues.
* **Diameter** that’s larger than a pencil eraser (1/4 of an inch).
* **Evolving** changes over time, such as moles that grow in size, change shape or color, bleed or itch.

Contact a healthcare provider if you notice anything unusual, even if you think it’s nothing."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),How are dysplastic nevi treated? (Melanocytic nevi),"An atypical mole doesn’t need further treatment unless a skin biopsy indicates cancer or pre-cancerous changes. Your healthcare provider may use the terms atypical melanocytic hyperplasia or moderately to severely dysplastic to describe biopsy results. Such results indicate a higher risk of cancer. Your provider will then treat the mole with further surgery.
Care at Cleveland Clinic"
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),Can you prevent atypical moles? (Melanocytic nevi),"While having atypical moles increases your risk of melanoma, removing benign normal moles doesn’t lower this risk."
Melanocytic nevi,https://my.clevelandclinic.org/health/diseases/24841-dysplastic-nevus-atypical-moles,Dysplastic Nevus (Atypical Moles),What is the outlook for someone with dysplastic nevus? (Melanocytic nevi),"Most people with atypical moles (as well as common moles) don’t develop skin cancer. Still, it’s important to examine your skin regularly for any unusual changes. Early detection and treatment of melanoma can be lifesaving."
